Team,Continent,Bronze,Silver,Gold,Total
Aruba,Americas,0,0,0,0
Liechtenstein,Europe,0,0,0,0
Whitini Star,Africa,0,0,0,0
Nauru,Oceania,0,0,0,0
Lucky Star,Europe,0,0,0,0
Briar,Americas,0,0,0,0
Gran Gesto,Europe,0,0,0,0
Zambia,Africa,0,0,0,0
Vietnam,Asia,0,0,0,0
Elvis Va,Americas,0,0,0,0
Netherlands Antilles,Europe,0,0,0,0
Cambodia,Asia,0,0,0,0
Malawi,Africa,0,0,0,0
Calimucho,Africa,0,0,0,0
Bhutan,Asia,0,0,0,0
Marshall Islands,Oceania,0,0,0,0
Kiribati,Oceania,0,0,0,0
Oxalis,Asia,0,0,0,0
Tuvalu,Oceania,0,0,0,0
Kosovo,Oceania,0,0,0,0
South Sudan,Africa,0,0,0,0
Don Schufro,Americas,0,0,0,0
Burkina Faso,Africa,0,0,0,0
Lancet,Oceania,0,0,0,0
Whisper,Africa,0,0,0,0
Clearwater,Americas,0,0,0,0
Lesotho,Oceania,0,0,0,0
Bonaparte,Americas,0,0,0,0
Mythilus,Asia,0,0,0,0
Rambo,Asia,0,0,0,0
Floresco,Europe,0,0,0,0
Brentina,Americas,0,0,0,0
Nadine,Asia,0,0,0,0
Pop Art,Europe,0,0,0,0
Quando Quando,Asia,0,0,0,0
Diabolo St Maurice,Europe,0,0,0,0
Ravel,Asia,0,0,0,0
Notavel,Europe,0,0,0,0
Galopin De La Font,Africa,0,0,0,0
Orion,Asia,0,0,0,0
Greenoaks Dundee,Americas,0,0,0,0
Sunrise,Africa,0,0,0,0
Salinero,Americas,0,0,0,0
Satchmo,Africa,0,0,0,0
Solos Carex,Oceania,0,0,0,0
Dow Jones,Americas,0,0,0,0
Digby,Europe,0,0,0,0
