Team,Continent,Bronze,Silver,Gold,Total
Cyprus,Asia,0,1,0,1
Papua New Guinea,Oceania,0,0,0,0
Yemen,Asia,0,0,0,0
Individual Olympic Athletes,Asia,3,1,1,5
Oman,Asia,0,0,0,0
Fiji,Oceania,0,0,13,13
Vanuatu,Oceania,0,0,0,0
Jamaica,Americas,38,56,31,125
Moldova,Oceania,5,3,0,8
Guatemala,Americas,0,1,0,1
Israel,Asia,7,1,1,9
Serbia,Europe,41,29,15,85
Monaco,Europe,0,0,0,0
British Virgin Islands,Europe,0,0,0,0
Iceland,Europe,1,14,0,15
Costa Rica,Americas,2,0,1,3
Central African Rep.,Americas,0,0,0,0
Madagascar,Africa,0,0,0,0
Bosnia and Herzegovina,Europe,0,0,0,0
Guam,Oceania,0,0,0,0
Philippines,Asia,1,2,0,3
Cayman Islands,Americas,0,0,0,0
Slovakia,Europe,12,17,13,42
Barbados,Americas,1,0,0,1
Ecuador,Americas,0,1,1,2
Guinea Bissau,Africa,0,0,0,0
Sierra Leone,Africa,0,0,0,0
Timor Leste,Asia,0,0,0,0
Dem. Rep. Congo,Europe,0,0,0,0
Gabon,Africa,0,1,0,1
Bahamas,Americas,13,11,12,36
San Marino,Europe,0,0,0,0
Thailand,Asia,11,7,9,27
Laos,Oceania,0,0,0,0
Botswana,Africa,0,1,0,1
Refugee Olympic Athletes,Asia,0,0,0,0
North Korea,Oceania,19,10,14,43
Mozambique,Africa,1,0,1,2
Solomon Islands,Oceania,0,0,0,0
Cape Verde,Africa,0,0,0,0
Equatorial Guinea,Africa,0,0,0,0
Bolivia,Asia,0,0,0,0
Andorra,Europe,0,0,0,0
Antigua and Barbuda,Americas,0,0,0,0
Luxembourg,Europe,0,0,0,0
Zimbabwe,Africa,1,4,2,7
Grenada,Americas,0,1,1,2
Senegal,Africa,0,0,0,0
Hong Kong,Asia,1,2,1,4
Saint Lucia,Americas,0,0,0,0
Federated States of Micronesia,Europe,0,0,0,0
Myanmar,Asia,0,0,0,0
Afghanistan,Asia,2,0,0,2
Yugoslavia,Asia,0,0,0,0
Guinea,Africa,0,0,0,0
Taiwan,Asia,16,27,3,46
Sao Tome and Principe,Africa,0,0,0,0
Congo,Africa,0,0,0,0
Macedonia,Asia,1,0,0,1
Tonga,Oceania,0,1,0,1
Montenegro,Europe,0,14,0,14
Gambia,Africa,0,0,0,0
Tanzania,Asia,0,0,0,0
Mistral Hojris,Oceania,0,0,0,0
Cook Islands,Oceania,0,0,0,0
Albania,Europe,0,0,0,0
Relampago,Asia,0,0,0,0
Swaziland,Africa,0,0,0,0
Burundi,Africa,0,1,1,2
Aruba,Americas,0,0,0,0
Liechtenstein,Europe,0,0,0,0
Whitini Star,Africa,0,0,0,0
Nauru,Oceania,0,0,0,0
Lucky Star,Europe,0,0,0,0
Briar,Americas,0,0,0,0
Gran Gesto,Europe,0,0,0,0
Zambia,Africa,0,1,0,1
Vietnam,Asia,0,3,1,4
Elvis Va,Americas,0,0,1,1
Netherlands Antilles,Europe,0,0,0,0
Cambodia,Asia,0,0,0,0
Malawi,Africa,0,0,0,0
Calimucho,Africa,0,0,0,0
Bhutan,Asia,0,0,0,0
Marshall Islands,Oceania,0,0,0,0
Kiribati,Oceania,0,0,0,0
Oxalis,Asia,0,0,0,0
Tuvalu,Oceania,0,0,0,0
Kosovo,Oceania,0,0,1,1
South Sudan,Africa,0,0,0,0
Don Schufro,Americas,1,0,0,1
Burkina Faso,Africa,0,0,0,0
Lancet,Oceania,0,0,0,0
Whisper,Africa,0,0,0,0
Clearwater,Americas,1,0,0,1
Lesotho,Oceania,0,0,0,0
Bonaparte,Americas,0,0,1,1
Mythilus,Asia,0,0,0,0
Rambo,Asia,0,0,0,0
Floresco,Europe,0,0,0,0
Brentina,Americas,0,0,0,0
Nadine,Asia,0,1,0,1
Pop Art,Europe,0,0,0,0
Quando Quando,Asia,0,0,0,0
Diabolo St Maurice,Europe,0,0,0,0
Ravel,Asia,0,0,0,0
Notavel,Europe,0,0,0,0
Galopin De La Font,Africa,0,0,0,0
Orion,Asia,0,0,0,0
Greenoaks Dundee,Americas,0,0,0,0
Sunrise,Africa,0,1,0,1
Salinero,Americas,0,1,0,1
Satchmo,Africa,0,0,1,1
Solos Carex,Oceania,0,0,0,0
Dow Jones,Americas,0,0,0,0
Digby,Europe,1,0,0,1
