Team,Medal
United States,Silver
Morocco,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Eritrea,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
United States,Silver
Jordan,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Libya,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Sudan,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Algeria,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Algeria,NA
Algeria,NA
Algeria,NA
Algeria,NA
Algeria,NA
Iran,NA
Iran,Bronze
Belgium,NA
Belgium,NA
Australia,NA
Australia,NA
Qatar,NA
Qatar,NA
Djibouti,NA
Djibouti,NA
United States,NA
United States,NA
United States,NA
United States,NA
Australia,NA
Australia,NA
Australia,NA
Palestine,NA
Canada,NA
Canada,NA
Canada,Bronze
Cameroon,NA
Comoros,NA
Canada,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Chad,NA
Cameroon,NA
Egypt,NA
Kazakhstan,NA
Brunei,NA
Iraq,NA
Kuwait,NA
Malaysia,NA
Malaysia,NA
Egypt,NA
Egypt,NA
Egypt,NA
Malaysia,NA
Brunei,NA
Brunei,NA
Sudan,NA
Saudi Arabia,NA
Syria,NA
Iraq,NA
Qatar,NA
Maldives,NA
Bahrain,NA
Saudi Arabia,NA
Jordan,NA
Bahrain,NA
Iraq,NA
Iraq,NA
Iraq,NA
Saudi Arabia,NA
United Arab Emirates,NA
North Yemen,NA
Kuwait,NA
Kuwait,NA
Indonesia,NA
Iraq,NA
Iraq,NA
Canada,NA
Egypt,NA
Iraq,NA
Egypt,NA
Egypt,NA
Qatar,NA
Egypt,NA
United States,NA
Iraq,NA
Egypt,NA
United Arab Emirates,NA
United Arab Emirates,NA
United Arab Emirates,NA
United Arab Emirates,NA
United Arab Emirates,NA
United Arab Emirates,NA
United Arab Emirates,NA
Kuwait,NA
Malaysia,NA
Malaysia,NA
Malaysia,NA
Malaysia,NA
Singapore,NA
Singapore,NA
Nigeria,NA
Azerbaijan,NA
Azerbaijan,NA
Azerbaijan,NA
Uzbekistan,NA
Uzbekistan,Gold
Uzbekistan,NA
Uzbekistan,NA
Azerbaijan,Silver
Azerbaijan,Gold
Azerbaijan,NA
Azerbaijan,NA
Azerbaijan,NA
Egypt,NA
Egypt,NA
United Arab Emirates,NA
United Arab Emirates,NA
Egypt,NA
Egypt,NA
Egypt,NA
Kuwait,NA
Kuwait,NA
Kuwait,NA
Iraq,NA
Egypt,NA
Egypt,NA
United States,Gold
Uzbekistan,NA
Kyrgyzstan,NA
Kyrgyzstan,NA
Uzbekistan,NA
Tajikistan,NA
Russia,NA
Tajikistan,NA
Tajikistan,Silver
Tajikistan,NA
Libya,NA
Unified Team,Gold
Uzbekistan,NA
Soviet Union,NA
Uzbekistan,NA
Kyrgyzstan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,Gold
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Congo (Brazzaville),NA
Ethiopia,NA
Ethiopia,Bronze
Ethiopia,NA
Ethiopia,NA
Algeria,NA
Egypt,NA
Iran,NA
Iran,NA
Cameroon,NA
Spain,NA
United States,NA
West Germany,NA
Canada,NA
Canada,NA
Canada,Bronze
Canada,NA
Canada,NA
Germany,NA
Germany,NA
Germany,NA
Germany,NA
Germany,NA
Spain,NA
Spain,NA
Cuba,NA
Spain,Gold
Germany,NA
Germany,NA
Mexico,NA
Argentina,NA
Argentina,NA
Argentina,NA
Spain,NA
Cameroon,NA
Ethiopia,Gold
Ethiopia,NA
Sweden,NA
Sweden,NA
Morocco,NA
United States Virgin Islands,NA
United States Virgin Islands,NA
United States Virgin Islands,NA
United States Virgin Islands,NA
United States Virgin Islands,NA
United States,Gold
Algeria,NA
Turkey,NA
Turkey,NA
Turkey,Silver
Turkey,NA
Sri Lanka,NA
Sri Lanka,NA
Sri Lanka,NA
Armenia,NA
Cote d'Ivoire,NA
Cote d'Ivoire,NA
Cote d'Ivoire,NA
Cote d'Ivoire,NA
Spain,NA
Spain,NA
Spain,NA
France,NA
East Germany,NA
Tunisia,NA
Iraq,NA
Kazakhstan,NA
Japan,NA
Japan,NA
Kenya,NA
Bulgaria,Gold
France,NA
France,NA
Nigeria,NA
Nigeria,NA
Benin,NA
Benin,NA
France-1,NA
Russia,NA
Azerbaijan,NA
Brazil,NA
Ukraine,NA
Ukraine,NA
Ukraine,NA
Russia,NA
Russia,Bronze
Russia,Silver
Russia,NA
Russia,NA
Russia,NA
Russia,Silver
Russia,NA
Russia,Silver
Russia,Bronze
Cameroon,NA
Ghana,NA
Nigeria,NA
Latvia,NA
Latvia,NA
Latvia,NA
Latvia,NA
Maldives,NA
Australia,NA
Australia,Bronze
Spain,NA
Spain,NA
Spain,NA
Cameroon,NA
Cameroon,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Syria,NA
Egypt,NA
Egypt,NA
Iraq,NA
Morocco,NA
Niger,NA
Qatar,NA
Qatar,NA
Iraq,NA
Libya,NA
Algeria,NA
Iraq,NA
Algeria,NA
Egypt,NA
Egypt,Silver
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Lebanon,NA
Lebanon,NA
Mali,NA
Egypt,NA
United States,NA
Hungary,Bronze
Hungary,Gold
Hungary,Silver
Great Britain,NA
Great Britain,NA
Great Britain,Bronze
Chile,NA
Switzerland,NA
India,NA
India,NA
India,NA
India,NA
India,NA
India,NA
Poland,NA
Sweden,NA
Sweden,Silver
Sweden,NA
South Africa,NA
Costa Rica,NA
Costa Rica,NA
Norway,NA
Norway,NA
Norway,NA
United States,NA
Georgia,NA
Georgia,NA
Georgia,NA
Georgia,NA
Georgia,NA
Georgia,NA
Belarus,NA
Ukraine,NA
Ukraine,NA
Ukraine,NA
Belarus,NA
Belarus,NA
Belarus,NA
Belarus,NA
Belarus,NA
Belarus,NA
Belarus,NA
Belarus,NA
Belarus,NA
Morocco,NA
Georgia,NA
Slovenia,NA
Georgia,NA
Georgia,NA
Russia,NA
Russia,NA
Russia,Bronze
Russia,NA
Soviet Union,NA
Soviet Union,NA
Soviet Union,NA
Russia,NA
Russia,NA
Russia,Bronze
Russia,NA
Croatia,NA
Croatia,NA
Russia-2,NA
Russia-1,NA
Guyana,NA
Guyana,NA
Georgia,NA
Portugal,NA
Portugal,NA
Portugal,NA
Portugal,NA
Portugal,NA
Portugal,NA
Portugal,NA
France,NA
Bulgaria,NA
Switzerland,NA
Germany,NA
Germany,NA
Poland,NA
Poland,NA
Poland,NA
Poland,NA
Poland,NA
Poland,NA
Portugal,NA
Brazil,NA
Angola,NA
Brazil,NA
Cuba,NA
Venezuela,NA
Portugal,NA
Portugal,NA
Portugal,NA
France,NA
Colombia,NA
Colombia,NA
Colombia,NA
Spain,Bronze
Djibouti,NA
Russia,NA
Russia,NA
Russia,Bronze
Soviet Union,Gold
France,Gold
France,Gold
France,NA
France,NA
Ethiopia,NA
United States,NA
Germany,NA
West Germany,NA
West Germany,NA
Russia,NA
Iran,NA
Bangladesh,NA
Iraq,NA
Saudi Arabia,NA
Saudi Arabia,NA
Jordan,NA
Jordan,NA
Malaysia,NA
Malaysia,NA
Palestine,NA
Palestine,NA
Jordan,NA
Jordan,NA
Kazakhstan,NA
Sudan,NA
Sudan,NA
Palestine,NA
China,NA
Kenya,NA
Nigeria,NA
Nigeria,NA
Libya,NA
Jordan,Gold
Somalia,NA
Palestine,NA
Jordan,NA
Saudi Arabia,NA
Mexico,NA
Kuwait,NA
Kuwait,NA
Japan,NA
Mexico,NA
Soviet Union,NA
Soviet Union,Bronze
Soviet Union,Gold
Kazakhstan,NA
Kazakhstan,NA
Qatar,NA
Jordan,NA
Russia,NA
Russia,NA
Romania,NA
Romania,Bronze
Romania,NA
Romania,NA
France,Gold
Spain,NA
Switzerland,NA
Switzerland,NA
Switzerland,NA
Switzerland,Bronze
Switzerland,NA
Switzerland,NA
Switzerland,NA
Switzerland,NA
Switzerland,NA
Switzerland,NA
Switzerland,NA
Switzerland,NA
Switzerland,NA
Switzerland,NA
Switzerland,NA
Switzerland,NA
Switzerland,NA
Switzerland,NA
Switzerland,NA
Cuba,NA
Cuba,NA
Spain,NA
Uruguay,NA
Uruguay,NA
Puerto Rico,Bronze
Colombia,NA
Canada,NA
Canada,NA
Venezuela,NA
Colombia,NA
Colombia,NA
Mexico,Silver
Mexico,NA
Belgium,NA
Morocco,NA
Mexico,NA
Spain,NA
India,NA
India,NA
India,NA
Great Britain,NA
Germany,NA
Ghana,NA
Ghana,Bronze
Switzerland,Silver
Lebanon,NA
Lebanon,NA
Uganda,NA
Morocco,Bronze
Morocco,NA
Morocco,Bronze
Morocco,NA
Great Britain,NA
Great Britain,NA
Netherlands,NA
Netherlands,NA
Romania,NA
Romania,NA
Uganda,NA
Uganda,NA
Uganda,NA
Canada,NA
Canada,NA
Egypt,NA
Egypt,NA
Algeria,NA
Tunisia,NA
Tunisia,NA
Syria,NA
Netherlands,Bronze
Netherlands,Silver
Cameroon,NA
Cameroon,NA
Uganda,NA
Uganda,NA
Brazil,NA
Great Britain,NA
Germany,NA
Germany,NA
Germany,NA
Germany,Silver
Germany,NA
Germany,Silver
Germany,Silver
Germany,NA
Germany,NA
Switzerland-2,NA
Switzerland-1,Gold
Switzerland-1,Bronze
Switzerland-1,Gold
Switzerland-1,Silver
Switzerland-2,Silver
Switzerland-1,NA
Switzerland-2,NA
Slovenia,NA
Mexico,NA
Mexico,NA
Honduras,NA
Chile,NA
Argentina,Gold
Ecuador,NA
Mexico,NA
Mexico,NA
El Salvador,NA
El Salvador,NA
El Salvador,NA
Venezuela,NA
Cuba,Bronze
Venezuela,NA
Venezuela,NA
Argentina,NA
Italy,NA
Canada,NA
Canada,NA
Canada,NA
Canada,NA
United States,NA
United States,NA
United States,NA
United States,NA
United States,NA
Venezuela,NA
Venezuela,NA
Mexico,NA
Argentina,NA
Turkmenistan,NA
Poland,Bronze
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
New Zealand,NA
New Zealand,NA
Turkey,NA
Turkey,NA
Brazil,NA
Sudan,NA
Romania,NA
Mauritius,NA
Mexico,NA
Cameroon,NA
Seychelles,NA
Seychelles,NA
Seychelles,NA
Czechoslovakia,NA
Seychelles,NA
Germany,NA
Great Britain,NA
Great Britain,NA
Great Britain,NA
Great Britain-1,NA
Canada,Gold
Egypt,NA
Egypt,NA
Egypt,NA
Egypt,NA
Kenya,NA
Kenya,NA
Kenya,NA
Kenya,NA
Kenya,NA
Germany,NA
Sudan,NA
Mauritania,NA
Mauritania,NA
West Germany,NA
Poland,Silver
Czechoslovakia,NA
Czechoslovakia,NA
Czechoslovakia,NA
Czechoslovakia,NA
Czechoslovakia,NA
Czechoslovakia,NA
Czechoslovakia,NA
Czechoslovakia,NA
Czech Republic,NA
Czech Republic,NA
Czech Republic,NA
Czech Republic,NA
Czech Republic,NA
Czech Republic,NA
Greece,NA
Greece,NA
Poland,NA
Poland,NA
Poland,NA
Poland,NA
Poland,NA
Germany,NA
Niger,NA
Saint Kitts and Nevis,NA
Saint Kitts and Nevis,NA
Saint Kitts and Nevis,NA
Saint Kitts and Nevis,NA
Saint Kitts and Nevis,NA
Saint Kitts and Nevis,NA
Australia,NA
United States,NA
United States,NA
South Africa,NA
Trinidad and Tobago,NA
Australia,NA
Australia,NA
Dominican Republic,NA
United States,NA
United States,NA
Saint Vincent and the Grenadines,NA
Australia,NA
Australia,NA
Australia,NA
Australia,NA
Australia,NA
Russia,NA
Germany,NA
Great Britain,Silver
Great Britain,Silver
Great Britain,NA
Puerto Rico,NA
Great Britain,Gold
Great Britain,Gold
Cuba,NA
Australia,NA
Australia,NA
Australia,NA
Australia,NA
Australia,NA
Australia,NA
Australia,NA
Australia,NA
United States,Bronze
Great Britain,Bronze
United States,NA
New Zealand,NA
New Zealand,Gold
New Zealand,Gold
New Zealand,Silver
Norway,NA
Germany,NA
Germany,Gold
Sweden,NA
Sweden,NA
Jamaica,NA
Jamaica,NA
United States,NA
Ghana,NA
Nigeria,NA
Poland,NA
Spain,NA
Philippines,NA
Somalia,NA
Somalia,NA
Turkey,NA
Great Britain,NA
Great Britain,NA
Australia,NA
Great Britain,NA
Algeria,NA
Algeria,NA
Algeria,NA
France,NA
France,NA
France,NA
South Africa,NA
Ghana,NA
Ghana,Bronze
Ghana,NA
Liberia,NA
Liberia,NA
Ghana,NA
Ghana,NA
Ghana,NA
Ghana,NA
Ghana,NA
East Germany,NA
East Germany,NA
East Germany,NA
Germany,NA
Germany,NA
Germany,NA
Germany,NA
Germany,NA
Germany,NA
Germany,NA
Germany,NA
Germany,NA
Germany,NA
Kenya,NA
Nigeria,Silver
Nigeria,NA
Nigeria,NA
Nigeria,NA
Bahrain,NA
Nigeria,NA
Nigeria,NA
Nigeria,NA
Suriname,NA
Suriname,NA
Suriname,NA
Suriname,NA
Suriname,NA
Suriname,NA
Netherlands,NA
Netherlands,NA
Jordan,NA
Nigeria,Silver
Seychelles,NA
France,NA
Italy,NA
Eritrea,NA
Eritrea,NA
Kenya,NA
Netherlands,NA
Brazil,Silver
Brazil,Silver
Djibouti,NA
Somalia,NA
Somalia,NA
Somalia,NA
Somalia,NA
Somalia,NA
Nigeria,NA
Nigeria,NA
Nigeria,NA
Nigeria,NA
Nigeria,NA
Nigeria,Silver
Nigeria,NA
Nigeria,NA
Brazil,Gold
Brazil,NA
Great Britain,NA
Ethiopia,NA
Ethiopia,NA
Ethiopia,NA
Uganda,NA
Nigeria,NA
Nigeria,NA
Nigeria,NA
Nigeria,NA
Nigeria,NA
Nigeria,NA
Nigeria-2,NA
United States,NA
Nepal,NA
Nigeria,NA
Nigeria,NA
Armenia,NA
Egypt,NA
Libya,NA
Libya,NA
Brazil,NA
Brazil,NA
Nigeria,NA
Nigeria,NA
Nigeria,NA
Uganda,NA
India,NA
India,NA
France-1,Bronze
France-1,Gold
France,NA
Mongolia,NA
Germany-2,Silver
Germany-2,NA
Ghana,Bronze
Cameroon,NA
United States,NA
United States,NA
United States,Gold
Brazil,NA
Brazil,NA
Brazil,NA
Brazil,Silver
Brazil,NA
Brazil,NA
Sweden,NA
Sweden,NA
Sweden,NA
Sweden,NA
Great Britain,Gold
Great Britain,Gold
Great Britain,Bronze
Great Britain,Bronze
West Germany,NA
Germany,NA
Algeria,NA
Great Britain,NA
Syria,NA
Cote d'Ivoire,NA
Palau,NA
Sweden,NA
Sweden,NA
Sweden,NA
Sweden,NA
Sweden,NA
Sweden,NA
Sweden,NA
Sweden,NA
Lithuania,Bronze
Lithuania,NA
Ghana,NA
Sweden,NA
Sweden,NA
Sweden,NA
Sweden,NA
Sweden,NA
Sweden,NA
Sweden,NA
Sweden,NA
Sweden,NA
Sweden,NA
Lithuania,NA
South Africa,NA
Monaco,NA
Puerto Rico,NA
Benin,NA
United States,Gold
United States,Gold
United States,Silver
United States,Gold
United States,Bronze
United States,Bronze
United States,Gold
United States,Gold
Namibia,NA
Indonesia,NA
Indonesia,NA
Indonesia,NA
Brazil,NA
Brazil,Silver
Brazil,Bronze
Netherlands,NA
Netherlands,NA
Netherlands,NA
Brazil,Bronze
Brazil,NA
Brazil,NA
Brazil,NA
Brazil,NA
Brazil,NA
Brazil,NA
Brazil,NA
Brazil,NA
Hungary,Silver
Great Britain,NA
United States,NA
Canada,NA
Canada,NA
Mongolia,NA
Ukraine,NA
Ukraine,NA
Ukraine,NA
Ukraine,NA
Mongolia,NA
Kazakhstan,NA
Kyrgyzstan,NA
Kazakhstan,NA
Ukraine,NA
Ukraine,NA
Iceland,NA
American Samoa,NA
Switzerland-2,NA
Switzerland,NA
Switzerland,NA
Switzerland,NA
Switzerland-2,NA
Belgium,NA
Belgium,NA
Belgium,NA
Belgium,NA
Switzerland,NA
Belgium,NA
Belgium,NA
Belgium,NA
Switzerland,NA
France,NA
France,NA
France,NA
Switzerland,NA
Iran,NA
Puerto Rico,NA
Russia,NA
Russia,NA
Russia,NA
Russia,NA
Russia,NA
Russia,NA
Russia,Silver
Russia,NA
Russia,NA
Russia,NA
Morocco,NA
Malaysia,NA
Malaysia,NA
Ethiopia,NA
Switzerland,NA
Switzerland,NA
Iran,NA
Togo,NA
Togo,NA
Egypt,NA
Egypt,NA
Russia,Bronze
Russia,NA
Russia,NA
Iran,NA
Samoa,NA
Nigeria,NA
Nigeria,Silver
Nigeria,NA
Nigeria,NA
Unified Team,NA
Portugal,NA
Angola,NA
Russia,NA
South Africa,Bronze
Greece,NA
Greece,NA
Greece,NA
Greece,NA
Greece,NA
Greece,NA
Greece,NA
Greece,NA
Greece,NA
Iran,NA
Iran,NA
Pakistan,NA
Pakistan,NA
Pakistan,NA
India,NA
South Africa,Bronze
Romania,NA
Romania,NA
Romania,Gold
Romania,NA
Romania,Bronze
Romania,NA
Romania,NA
Uzbekistan,NA
Uzbekistan,NA
Uzbekistan,NA
Turkey,NA
Rwanda,NA
Nigeria,NA
Italy,Bronze
Italy,Silver
Italy,NA
Italy,NA
Uzbekistan,NA
Croatia,NA
Croatia,NA
Croatia,NA
Dominica,NA
Dominica,NA
United States,Gold
United States,NA
Seychelles,NA
Azerbaijan,NA
Azerbaijan,NA
Nigeria,NA
France,Silver
Brazil,NA
Brazil,NA
Benin,NA
Togo,NA
France,NA
United States,NA
Haiti,NA
Haiti,NA
Uganda,NA
Great Britain,NA
Denmark,NA
Norway,NA
Norway,NA
India,NA
Algeria,NA
Hungary,NA
Hungary,NA
Hungary,NA
Hungary,NA
Hungary,NA
Hungary,NA
Hungary,NA
Armenia,NA
Nigeria,NA
Armenia,NA
Spain,NA
Spain,NA
Malta,NA
Malta,NA
Malta,NA
Malta,NA
South Africa,NA
Netherlands,Gold
Netherlands,Gold
Benin,NA
France,NA
France,NA
France,Gold
France,Gold
France,Silver
France,NA
France,NA
Nigeria,NA
United States,NA
Luxembourg,NA
Canada,Gold
Canada,Gold
Canada,Gold
Portugal,NA
Portugal,NA
Portugal,NA
Australia,NA
Puerto Rico,NA
United States-1,Silver
United States-2,NA
Austria,NA
Brazil,NA
Portugal,NA
Greece,NA
Cuba,NA
Tunisia,NA
Italy,NA
Italy,NA
Sweden,NA
Brazil,NA
Brazil,NA
Brazil,NA
Brazil,NA
Seychelles,NA
West Germany,NA
West Germany,NA
Puerto Rico,NA
Cyprus,NA
Dominican Republic,NA
Venezuela,NA
Benin,NA
Benin,NA
Cuba,NA
Argentina,NA
Argentina,Gold
Cuba,Gold
Italy,NA
Togo,NA
Spain,NA
Angola,NA
Argentina,NA
Portugal,NA
Brazil,NA
Guinea,NA
Argentina,NA
Cuba,NA
Cuba,NA
Venezuela,NA
Spain,NA
Spain,NA
Spain,NA
West Germany,NA
West Germany,NA
West Germany,NA
West Germany,NA
West Germany,NA
West Germany,NA
West Germany,NA
West Germany,NA
Costa Rica,NA
Costa Rica,NA
Costa Rica,NA
Costa Rica,NA
Costa Rica,NA
Costa Rica,NA
Costa Rica,NA
Spain,NA
Spain,NA
Spain,NA
Spain,NA
Spain,NA
Mexico,NA
Colombia,NA
Colombia,NA
Chile,NA
Panama,NA
Panama,NA
Spain,NA
Spain,NA
Spain,NA
Mexico,NA
Cuba,Bronze
Cuba,NA
Cuba,NA
Cuba,NA
Spain,Bronze
Spain,NA
Belize,NA
Costa Rica,NA
Costa Rica,NA
Chile,NA
Chile,NA
Chile,NA
Chile,NA
Spain,NA
Spain,NA
Spain,Silver
Mexico,NA
Cuba,NA
Argentina,NA
Trinidad and Tobago,NA
Nicaragua,NA
Cuba,Bronze
Mexico,NA
Cuba,NA
Cuba,NA
Puerto Rico,NA
Spain,NA
Colombia,NA
Colombia,NA
Mexico,NA
Mexico,NA
Mexico,NA
Argentina,NA
Argentina,NA
Argentina,NA
Cuba,NA
Cuba,NA
Cuba,NA
Argentina,NA
Spain,NA
Spain,NA
Paraguay,NA
Paraguay,NA
Paraguay,NA
United States,NA
Venezuela,NA
Nicaragua,NA
Nicaragua,NA
Uruguay,NA
Argentina,NA
Spain,NA
France,NA
Indonesia,Silver
Spain,NA
Iceland,NA
Iceland,NA
Spain,NA
Kenya,NA
Ghana,NA
Ghana,NA
Ghana,NA
Great Britain,NA
Great Britain,NA
Great Britain,NA
Great Britain,NA
Australia,NA
Australia,NA
Australia,NA
United States,NA
United States,NA
United States,Silver
Seychelles,NA
Malaysia,NA
Comoros,NA
Comoros,NA
Morocco,NA
Morocco,NA
Cameroon,NA
Canada,NA
United States,NA
Togo,NA
Ghana,NA
Ghana,NA
Sweden,Bronze
Sweden,NA
Sweden,Bronze
Sweden,Bronze
Sweden,NA
Sweden,NA
Sweden,NA
Germany,NA
Germany,Bronze
Germany,NA
Germany,NA
Germany,NA
Germany,NA
Germany,NA
Germany,Bronze
Norway,NA
India,NA
India,NA
Pakistan,NA
Qatar,NA
Pakistan,NA
United Arab Emirates,NA
Indonesia,NA
Indonesia-1,Gold
Pakistan,NA
Pakistan,NA
Pakistan,NA
Iran,NA
Iran,NA
Iran,NA
Germany,NA
Germany-1,Bronze
United States,Gold
United States,Silver
United States,Gold
Egypt,NA
Egypt,NA
Somalia,NA
Libya,NA
Libya,NA
Egypt,NA
Pakistan,Bronze
Iraq,NA
Egypt,NA
Maldives,NA
Egypt,NA
Pakistan,NA
Egypt,NA
Iraq,NA
Iraq,NA
Egypt,NA
Pakistan,Gold
Pakistan,NA
Egypt,NA
Pakistan,NA
Pakistan,Bronze
Pakistan,NA
Iraq,NA
Canada,NA
Canada,NA
Canada,NA
Pakistan,NA
Pakistan,NA
Pakistan,Gold
Pakistan,NA
Iraq,NA
Egypt,NA
Egypt,NA
Pakistan,NA
Pakistan,Bronze
Pakistan,NA
India,NA
Maldives,NA
Egypt,NA
Pakistan,NA
Ethiopia,NA
South Yemen,NA
Bangladesh,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
West Germany,NA
Finland,NA
Benin,NA
Benin,NA
Finland,NA
Finland,NA
Finland,NA
Finland,NA
Togo,NA
Finland,NA
Finland,NA
Finland,NA
Finland,NA
Finland,NA
Finland,NA
Finland,NA
Finland,NA
Finland,Silver
Finland,NA
Finland,NA
Finland,Silver
Finland,NA
Finland,NA
Finland,NA
Finland,NA
Finland,NA
Finland,NA
Benin,NA
Cote d'Ivoire,NA
Cote d'Ivoire,NA
Cote d'Ivoire,NA
Cote d'Ivoire,NA
United States,NA
United States,Gold
Namibia,NA
Namibia,NA
Namibia,NA
Germany,NA
Indonesia,NA
Indonesia,NA
Libya,NA
United States,NA
India,NA
India,NA
Chile,NA
Estonia,NA
Estonia,NA
Trinidad and Tobago,NA
Trinidad and Tobago,NA
Trinidad and Tobago,NA
Trinidad and Tobago,NA
Trinidad and Tobago,NA
China,NA
China,NA
China,NA
France,NA
Italy,Silver
Italy,Bronze
Argentina,NA
Argentina,Silver
Argentina,Bronze
Argentina,Bronze
Algeria,NA
Romania,NA
Mauritania,NA
Mauritania,NA
Algeria,NA
Algeria,NA
Algeria,NA
Lithuania,NA
Lithuania,NA
Italy,Silver
Italy,NA
Germany,Bronze
Germany,NA
Japan,NA
Japan,Bronze
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Sweden,NA
Sweden,NA
Japan,Bronze
Great Britain,NA
Italy,NA
Italy,NA
Italy,NA
France,NA
France,NA
France,NA
Great Britain,Silver
Great Britain,Gold
Great Britain,Gold
Great Britain,Gold
Great Britain,Gold
South Africa,NA
South Africa,NA
South Africa,NA
United States,Gold
Great Britain,NA
Great Britain,NA
Sweden,NA
Sweden,NA
Argentina,NA
New Zealand,NA
New Zealand,NA
France,NA
Algeria,NA
Algeria,NA
Singapore,NA
Algeria,NA
Morocco,NA
Algeria,NA
Morocco,NA
